,combined_chargedescription,arrest_year,X,Y,arrestnumber,age,latitude,longitude,objectid,shape,arrest_month
2350,FAILING TO VERIFY INFORMATION,2019,0.0,0.0,95393986.0,145.0,0.0,0.0,1034638,0.0,28
2351,FAILING TO VERIFY INFORMATION,2021,0.0,0.0,21060173.0,28.0,0.0,0.0,239581,0.0,4
2352,FAILREG GUN OFFENDER,2019,0.0,0.0,19110707.0,24.0,0.0,0.0,142506,0.0,8
2353,FAILTO PAY FINE,2018,0.0,0.0,18050637.0,43.0,0.0,0.0,270807,0.0,3
2354,FAILUIRE TO APPEAR OR PAY FINE,2020,0.0,0.0,20151020.0,51.0,0.0,0.0,73914,0.0,10
2355,FAILURE  TO COMPLY,2018,0.0,0.0,18087502.0,29.0,0.0,0.0,202620,0.0,6
2356,FAILURE APPEAR,2022,0.0,0.0,44213441.0,73.0,0.0,0.0,224801,0.0,16
2357,FAILURE OBTAIN CIGARETTE LICEN,2020,0.0,0.0,40133643.0,60.0,0.0,0.0,463907,0.0,10
2358,FAILURE OF VEH TO STOP AFTER A,2018,0.0,0.0,18120436.0,55.0,0.0,0.0,138341,0.0,8
2359,FAILURE OF VEH. DRIVER TO STOP,2019,0.0,0.0,38139267.0,63.0,0.0,0.0,450436,0.0,10
2360,FAILURE OF VEHICLE DRIVER,2022,1429434.28489833,595803.977266348,22055884.0,26.0,39.3019,-76.5862,226526,0.0,5
2361,FAILURE STOP VEH. AT SCENE OF,2021,1435692.92926293,612624.599295164,21064929.0,19.0,39.348,-76.5638,230421,0.0,5
2362,FAILURE TO APPEAR,2018,4284249.98382902,1806776.357529427,68521576456.0,131070.0,117.9589,-229.77259999999998,677888303,0.0,24105
2363,FAILURE TO APPEAR,2019,11317835.53576935,4718184.697576333,71705078307.0,130370.0,314.2841,-613.106,683491513,0.0,23610
2364,FAILURE TO APPEAR,2020,37768951.7947054,1449642.0519332,39851908293.0,70308.0,157.2499,-306.4139,417360522,0.0,10681
